timesteps,episode_idx,ep_reward,ep_len,event,final_dist,min_dist,sum_r_progress,sum_r_close,sum_r_zem,approx_kl,clip_fraction,entropy_loss,explained_variance,value_loss,policy_gradient_loss,max_action_mag,max_accel_norm,time_to_hit
82789,68,-6815.236881,617,running,129163.6171875,inf,0.0,0.0,0.0,0.0015182208735495806,0.00087890625,-2.8179421335458756,0.04917401075363159,324738.82426757814,-0.001084732374874875,0.0,0.0,nan
83733,69,-5615.448033,944,running,178666.796875,inf,0.0,0.0,0.0,0.0015182208735495806,0.00087890625,-2.8179421335458756,0.04917401075363159,324738.82426757814,-0.001084732374874875,0.0,0.0,nan
84987,70,-6418.163501,1254,running,90975.7265625,inf,0.0,0.0,0.0,0.0018233883893117309,0.001318359375,-2.8124623984098434,0.044733524322509766,434688.34453125,-0.002073568501509726,0.0,0.0,nan
85648,71,-6080.972202,661,running,128060.8125,inf,0.0,0.0,0.0,0.0018233883893117309,0.001318359375,-2.8124623984098434,0.044733524322509766,434688.34453125,-0.002073568501509726,0.0,0.0,nan
86701,72,-6231.593671,1053,running,86465.8046875,inf,0.0,0.0,0.0,0.003423019079491496,0.01123046875,-2.8060595452785493,0.03359287977218628,345500.73662109376,-0.003188848285935819,0.0,0.0,nan
87439,73,-6192.067879,738,running,182061.671875,inf,0.0,0.0,0.0,0.003423019079491496,0.01123046875,-2.8060595452785493,0.03359287977218628,345500.73662109376,-0.003188848285935819,0.0,0.0,nan
88698,74,-6198.91248,1259,running,140087.5625,inf,0.0,0.0,0.0,0.00028074620058760047,0.0,-2.804507830739021,0.0383109450340271,308333.9903320313,-0.000626032444415614,0.0,0.0,nan
89923,75,-5756.412637,1225,running,138113.96875,inf,0.0,0.0,0.0,0.00028074620058760047,0.0,-2.804507830739021,0.0383109450340271,308333.9903320313,-0.000626032444415614,0.0,0.0,nan
90980,76,-5898.185844,1057,running,103460.6953125,inf,0.0,0.0,0.0,0.0019468017853796482,0.002880859375,-2.8039156556129456,0.03665095567703247,351332.7526855469,-0.0026034348644316196,0.0,0.0,nan
91808,77,-6317.138281,828,running,72568.46875,inf,0.0,0.0,0.0,0.0019468017853796482,0.002880859375,-2.8039156556129456,0.03665095567703247,351332.7526855469,-0.0026034348644316196,0.0,0.0,nan
92691,78,-5949.230628,883,running,100702.234375,inf,0.0,0.0,0.0,0.0024970374070107937,0.00361328125,-2.8017039388418197,0.03483724594116211,324297.0476074219,-0.002184683521045372,0.0,0.0,nan
93494,79,-5872.12246,803,running,92714.65625,inf,0.0,0.0,0.0,0.0024970374070107937,0.00361328125,-2.8017039388418197,0.03483724594116211,324297.0476074219,-0.002184683521045372,0.0,0.0,nan
94631,80,-6038.868322,1137,running,110323.1015625,inf,0.0,0.0,0.0,0.0034796283580362797,0.016943359375,-2.790851593017578,0.036801040172576904,276361.9620117188,-0.003664094430860132,0.0,0.0,nan
95199,81,-7178.249468,568,running,179431.671875,inf,0.0,0.0,0.0,0.0034796283580362797,0.016943359375,-2.790851593017578,0.036801040172576904,276361.9620117188,-0.003664094430860132,0.0,0.0,nan
96057,82,-6619.273771,858,running,93636.0390625,inf,0.0,0.0,0.0,0.0034796283580362797,0.016943359375,-2.790851593017578,0.036801040172576904,276361.9620117188,-0.003664094430860132,0.0,0.0,nan
96893,83,-6020.106179,836,running,149558.875,inf,0.0,0.0,0.0,0.0009340967517346144,0.0001953125,-2.789999622106552,0.03574573993682861,547316.361328125,-0.0012188742693979293,0.0,0.0,nan
97782,84,-6428.044317,889,running,97386.25,inf,0.0,0.0,0.0,0.0009340967517346144,0.0001953125,-2.789999622106552,0.03574573993682861,547316.361328125,-0.0012188742693979293,0.0,0.0,nan
98535,85,-5453.553294,753,running,85408.1953125,inf,0.0,0.0,0.0,0.0006605037488043308,0.0,-2.793346533179283,0.0392380952835083,336447.5197753906,-0.0007045464328257367,0.0,0.0,nan
1660,1,-4252.906168,1660,running,67128.140625,inf,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan
2629,2,-2799.170382,969,running,193313.328125,inf,0.0,0.0,0.0,0.00618790416046977,0.020068359375,-2.8439973056316377,0.0007919073104858398,15338.67271118164,-0.002094528594170697,0.0,0.0,nan
4260,3,-3560.738524,1631,running,201935.34375,inf,0.0,0.0,0.0,0.005700128152966499,0.017919921875,-2.845204710960388,0.017757952213287354,5862.224758911133,-0.0022035034489817917,0.0,0.0,nan
6225,4,-8823.939502,1965,running,106904.1484375,inf,0.0,0.0,0.0,0.0009050886146724224,9.765625e-05,-2.8409003049135206,0.00850212574005127,22592.423391723634,-0.0008489052444929257,0.0,0.0,nan
7581,5,-3424.893924,1356,running,68266.21875,inf,0.0,0.0,0.0,0.0009050886146724224,9.765625e-05,-2.8409003049135206,0.00850212574005127,22592.423391723634,-0.0008489052444929257,0.0,0.0,nan
8739,6,-3405.280511,1158,running,106896.390625,inf,0.0,0.0,0.0,0.00028891011606901884,4.8828125e-05,-2.84180329144001,0.001900315284729004,227776.10599365234,-0.0004865974391577765,0.0,0.0,nan
10791,7,-5060.348953,2052,running,70952.0078125,inf,0.0,0.0,0.0,0.008476544171571732,0.038330078125,-2.8462898075580596,0.04729580879211426,7199.772930908203,-0.004352814707090147,0.0,0.0,nan
11984,8,-2967.868404,1193,running,144044.59375,inf,0.0,0.0,0.0,0.008476544171571732,0.038330078125,-2.8462898075580596,0.04729580879211426,7199.772930908203,-0.004352814707090147,0.0,0.0,nan
13449,9,-3607.28467,1465,running,105513.65625,inf,0.0,0.0,0.0,0.001379848807118833,0.000390625,-2.855115661025047,0.08418387174606323,10070.533575439453,-0.001184017292689532,0.0,0.0,nan
15250,10,-4307.39823,1801,running,117259.328125,inf,0.0,0.0,0.0,0.009688053280115128,0.047412109375,-2.863352909684181,0.053585588932037354,12972.052313232422,-0.0034086120140273124,0.0,0.0,nan
17049,11,-4196.441957,1799,running,54892.37109375,inf,0.0,0.0,0.0,0.00864323042333126,0.050146484375,-2.8610957831144335,0.075733482837677,10306.506875610352,-0.0032858981052413584,0.0,0.0,nan
18329,12,-3183.042989,1280,running,154320.890625,inf,0.0,0.0,0.0,0.00864323042333126,0.050146484375,-2.8610957831144335,0.075733482837677,10306.506875610352,-0.0032858981052413584,0.0,0.0,nan
19414,13,-6297.459034,1085,running,162046.28125,inf,0.0,0.0,0.0,0.008327215909957886,0.040478515625,-2.859071817994118,0.0952863097190857,12741.891159057617,-0.0038778811460360883,0.0,0.0,nan
21571,14,-9829.806882,2157,running,68717.2265625,inf,0.0,0.0,0.0,0.0004455433809198439,0.0,-2.86647090613842,0.020739495754241943,156145.82697753905,-0.0004319651023251936,0.0,0.0,nan
22719,15,-8119.903159,1148,running,124823.1171875,inf,0.0,0.0,0.0,0.0022845352068543434,0.00126953125,-2.870592898130417,0.006926357746124268,210814.143359375,-0.0018293402390554547,0.0,0.0,nan
23870,16,-7488.012683,1151,running,156474.515625,inf,0.0,0.0,0.0,0.0022845352068543434,0.00126953125,-2.870592898130417,0.006926357746124268,210814.143359375,-0.0018293402390554547,0.0,0.0,nan
25167,17,-7444.924741,1297,running,87796.734375,inf,0.0,0.0,0.0,0.0009060376905836165,0.0001953125,-2.8731311738491057,0.017565906047821045,357020.0931640625,-0.0011172515049111098,0.0,0.0,nan
25965,18,-6837.62461,798,running,77985.4609375,inf,0.0,0.0,0.0,0.0009060376905836165,0.0001953125,-2.8731311738491057,0.017565906047821045,357020.0931640625,-0.0011172515049111098,0.0,0.0,nan
27034,19,-7648.694762,1069,running,71439.6328125,inf,0.0,0.0,0.0,0.0005730894044972956,0.0,-2.8689689338207245,0.013757824897766113,337261.5342773438,-0.0009057327755726874,0.0,0.0,nan
28103,20,-3001.315309,1069,running,192439.890625,inf,0.0,0.0,0.0,0.0005730894044972956,0.0,-2.8689689338207245,0.013757824897766113,337261.5342773438,-0.0009057327755726874,0.0,0.0,nan
29223,21,-6046.487459,1120,running,104034.5625,inf,0.0,0.0,0.0,0.001681227469816804,0.001220703125,-2.8637419432401656,0.029576659202575684,175855.57664794923,-0.001976298340014182,0.0,0.0,nan
30055,22,-6614.542929,832,running,93454.421875,inf,0.0,0.0,0.0,0.001681227469816804,0.001220703125,-2.8637419432401656,0.029576659202575684,175855.57664794923,-0.001976298340014182,0.0,0.0,nan
30990,23,-6932.131697,935,running,178284.328125,inf,0.0,0.0,0.0,0.00022025805083103478,0.0,-2.8593628376722338,0.017042160034179688,343148.2762695312,-0.0003463717119302601,0.0,0.0,nan
32205,24,-8027.14983,1215,running,139501.421875,inf,0.0,0.0,0.0,0.00022025805083103478,0.0,-2.8593628376722338,0.017042160034179688,343148.2762695312,-0.0003463717119302601,0.0,0.0,nan
33019,25,-6710.594299,814,running,95328.90625,inf,0.0,0.0,0.0,0.001090884325094521,0.0001953125,-2.8625066548585893,0.013990342617034912,430504.3155273438,-0.0013299995014676824,0.0,0.0,nan
33833,26,-6102.171766,814,running,84505.0234375,inf,0.0,0.0,0.0,0.001090884325094521,0.0001953125,-2.8625066548585893,0.013990342617034912,430504.3155273438,-0.0013299995014676824,0.0,0.0,nan
34548,27,-6143.23291,715,running,122372.6796875,inf,0.0,0.0,0.0,0.001090884325094521,0.0001953125,-2.8625066548585893,0.013990342617034912,430504.3155273438,-0.0013299995014676824,0.0,0.0,nan
35642,28,-8665.367142,1094,running,83470.2265625,inf,0.0,0.0,0.0,0.00011235949932597578,0.0,-2.86413534283638,0.022688090801239014,502480.117578125,-0.00020213826501276345,0.0,0.0,nan
